,0
to‘laqonli,6
etishi,5
yaratishga,1
hayotiy,1
ehtiyojlarini,1
imkoniyatlarini,1
kengaytirishga,1
choralarni,1
nogironlar,1
sohalar,1
obyektlari,1
xizmatlaridan,1
joylashishiga,1
xotinqizlar,3
erkaklar,2
erkaklarga,1
sohalarida,2
imkoniyatlarni,1
konstitutsion,6
belgilab,1
burchlarini,1
rioya,6
insonlarning,1
obyektlaridan,1
xalqining,3
merosini,1
asrabavaylashi,1
tarixiymadaniy,1
obyektlarini,2
merosi,1
ehtiyotkorona,1
munosabatda,1
uchinichi,1
viii,1
tabiatdan,1
maxsus,3
bo‘limi,1
soliq,8
soliqlar,3
yig‘imlar],1
yig‘imlarni,1
to‘lashi,1
yig‘imlar,1
oshirishiga,1
qilmasligi,1
mudofaa,10
harbiy,6
xizmatni,2
shartnoma,4
kontrakt,1
xizmatga,1
kirish,1
muqobil,2
fuqaro,1
mudofaasi,1
obyektlarni,1
respublikasini,1
fuqarosining,1
burchidir,1
o‘tashga,1
majburdirlaruchinchi,1
shaxsxii,1
iqtisodiyot,5
ijtimoiymadaniy,5
qurilish,5
boshqaruvining,8
islohotlar,1
iqtisodiyotining,1
negizini,1
xilmaxil,1
shakllardagi,1
bozor,1
halol,1
raqobat,2
ustuvorligini,1
olgan,3
erkinligini,3
ashyoviy,3
huquqlarni,2
shakllarining,1
huquqliligi,1
mulkchilik,1
huquqlar,1
xususiy,4
tartibdan,1
mulkni,1
mulkdorlar,1
huquqlarining,2
molmulkka,1
xohishicha,1
egalik,1
undan,5
foydalanadi,1
tasarruf,1
molmulkdan,1
buzmasligi,1
investitsiyalar,1
xorijdan,1
mablag‘,1
jalb,1
larga,1
investitsiya,1
investitsiyaviy,2
ishbilarmonlik,1
muhitini,1
tadbirkorlarni,1
tadbirkorlar,1
qonunchilikka,3
faoliyatni,1
yo‘nalishlarini,2
tanlashga,1
makon,1
birligi,2
tovarlar,1
xizmatlar,1
resurslari,2
moliyaviy,1
mablag‘larning,1
harakatlanishi,1
monopoliyalar,1
monopoliya,1
raqobatli,1
monopol,1
solinadi,2
boyliklari,2
o‘simlik,1
hayvonot,1
dunyosi,1
umummilliy,2
boylikdir,1
oqilona,2
suvdan,1
“o‘simlik,1
dunyosini,2
“o‘rmon,1
havosini,1
erdan,1
uchastkasiga,1
huquqlarning,1
vujudga,2
kelishi,2
hujjatlariga,1
yerga,1
boylik,1
shartlar,1
mumkinxiii,1
notijorat,22
maqomining,2
radio,3
televideniye,3
jamiyatining,2
institutlarining,2
tashkilotlarini,1
ro‘yxatga,1
tashkilotlarni,1
ro‘yxatiga,1
harakatlar,2
olimlarning,1
jamiyatlari,1
faxriylar,1
ijodiy,4
uyushmalar,1
birlashmalarini,1
tarqatib,8
yuborish,5
taqiqlab,1
asosidagina,1
birlashmalarining,1
zo‘rlik,1
o‘zgartirishni,1
qo‘yuvchi,1
suverenitetiga,1
yaxlitligiga,1
chiquvchi,1
urushni,1
irqiy,1
adovatni,1
targ‘ib,1
axloqqa,1
tajovuz,1
partiyalarning,3
tashkilotlarining,3
belgilariga,1
harbiylashtirilgan,1
birlashmalarning,1
taqiqlanadi,2
maxfiy,1
jamiyatlar,1
birlashmalar,1
xatboshilari,1
etilishini,3
faoliyatiga,13
aralashishiga,2
xodimlarning,2
etadilar,2
qiladilar,1
tabaqa,1
guruhlarning,1
ifodalaydilar,1
o‘zlarining,1
saylab,1
hokimiyatini,1
tuzishda,1
moliyalashtirilishi,1
manbalari,1
palatasiga,8
organga,1
hisobotlar,3
davlatdan,1
ajratilgan,1
tengdirlar,1
aralashmaydi,1
ko‘rsatayotgan,1
qonunixiv,1
onalik,4
otalik,4
bolalikni,3
qo‘llabquvvatlash],3
bo‘g‘inidir,1
nikoh,3
qadriyatlariga,1
nikohlanuvchilarning,1
ixtiyoriy,1
roziligiga,1
huquqliligiga,1
oilaning,1
otaonalar,6
bolalarning,3
majburiyatlari,4
aliment,2
o‘rnini,1
bosuvchi,1
farzandlarini,1
voyaga,2
yetguniga,1
qadar,7
boqishi,1
tarbiyasi,1
olishi,1
topishi,1
xususida,1
qarovisiz,2
bolalarni,4
aniqlash,1
yetim,1
otaonasining,2
vasiyligidan,1
boqishni,1
tarbiyalashni,1
olishini,1
topishini,1
maqsadda,1
xayriya,1
rag‘batlantiradi lexuz,1
farzandlar,2
naslnasabi,1
holatidan,1
holatini,2
yaxshi,2
shartsharoitlarni,1
yaratish,3
bolalik,1
bolalarda,1
yoshlarda,1
sodiqlikni,1
mamlakatidan,1
boy,1
merosidan,1
faxrlanishni,1
vatanparvarlik,1
vatanga,1
mehrmuhabbat,1
tuyg‘ularini,1
yoshlarning,2
faol,1
etishini,2
rag‘batlantiradi[okoz,1
axloqiy,1
shakllanishi,1
joylashishga,1
bandlik,1
mulkiy,1
yetgan,1
layoqatli,1
otaonalari,1
moddasixv,1
erkindir,1
boradilar,1
oshirilishini,4
resurslaridan,1
vositalaridagi,1
etadigan,1
axborotning,1
ishonchliligi,1
senzuraga,1
qo‘yilmaydi,4
vositalarining,1
aralashish,2
sabab,2
bo‘ladito‘rtinchi,1
tuzilishixvi,1
bo‘linish]modda,1
viloyatlar,15
tumanlar,10
shaharlar,10
shaharchalar,3
qishloqlar,3
ovullar,1
respublikasidan,1
shahrining,1
chegaralarini,3
o‘zgartirish,12
roziligi,1
qonunixvii,1
tarkibiga,3
kiradi,2
konstitutsiyasiga,12
o‘zgartirish]modda,1
chegaralari,1
o‘zgartirilishi,1
masalalarini,2
tarkibidan,5
ajralib,1
munosabatlari,1
doirasida,5
tuzilgan,4
bitimlar,1
o‘rtasidagi,1
nizolar,1
murosaga,1
keltiruvchi,1
vositalar,1
yordamida,1
etiladibeshinchi,1
etilishixviii,1
organi,5
hokimiyatni,2
palatali,1
parlament,11
om,1
palatadan,1
senatdan,1
iborat,12
muddati,6
besh,11
deputatlar,15
senat,32
deputatining,4
saylanadigan,2
yuz,4
ellik,1
deputatdan,1
senatorlardan,1
jo‘qorg‘i,5
kengesi,2
deputatlarining,2
qo‘shma,5
majlislarida,8
orasidan,11
yashirin,8
shahridan,1
miqdorda,1
to‘rt,2
kishidan,1
saylanadi,11
senatining,9
to‘qqiz,1
nafar,1
adabiyot,1
ishlab,4
tarmoqlarida,1
katta,1
amaliy,1
tajribaga,1
ko‘rsatgan,1
obro‘li,1
saylash,15
yigirma,1
yoshga,2
to‘lgan,2
kamida,10
muqim,2
deputati,8
deputatlikka,1
nomzodlarga,1
qo‘yiladigan,1
talablar,1
paytning,1
o‘zida,4
palatasining,9
vaqtning,3
kengesining,2
birgalikdagi,2
vakolatlari,18
quyidagilardan,5
konstitutsiyasini,1
qo‘shimchalar,8
qonunlarini,4
shartnomalarni,1
ratifikatsiya,2
denonsatsiya,1
referendumini,2
sanasini,1
qaror,5
siyosatining,3
strategik,1
dasturlarini,3
tuzilmalarini,1
haqidagi,2
qarorlarni,2
tasdiqlash,6
bojxona,1
valyuta,2
solish,2
mahkamasining,15
taqdimiga,16
budjetini,2
budjet,4
qarzining,1
miqdorini,1
to‘lovlarni,1
joriy,5
viloyatlarni,1
nomini,1
o‘zgartirish lexuz,1
mukofotlari,3
unvonlarini,2
markaziy,23
komissiyasini,3
vakilini,2
o‘rinbosarini,2
majlisning,1
vakili,3
ombudsman,2
prezidentining,21
respublikasiga,2
hujum,2
qilinganda,2
tajovuzdan,2
birbirini,2
majburiyatlarini,2
bajarish,4
zaruriyati,2
tug‘ilganda,2
urush,2
farmonini,1
qisman,2
safarbarlik,2
favqulodda,5
holat,4
qilishini,1
uzaytirish,1
farmonlarini,2
korrupsiyaga,3
kurashish,5
eshitish,7
tekshiruvini,2
o‘tkazish lexuz,1
vakolatlarni,12
palatalarning,2
vakolatlariga,2
kiradigan,1
qoida,2
tariqasida,2
avval,1
palatasida,2
so‘ngra,1
senatida,1
mutlaq,3
budjetining,2
nazoratni,6
hisob,4
hisobotini,3
bosh,35
vaziri,6
nomzodini,2
vazirining,1
mamlakatni,1
rivojlantirishning,2
dolzarb,2
hisobotlarini,3
nomzodlarni,5
shaxslariga,2
so‘rovini,2
nazoratining,2
spikeri,11
o‘rinbosarlarini,7
qo‘mitalarning,2
raislari,3
prokurorining,5
deputatini,1
masalalarni,8
palataning,2
tartibqoidalari,2
bu,2
sonining,15
uchdan,10
qismidan,7
ko‘pchilik,8
ovozi,9
qilishi,5
sudini,2
sudyalar,18
kengashini,3
organining,6
rahbarini,2
monopoliyaga,2
prokurori,8
raisi,25
lavozimlariga,2
lavozimiga,6
nomzod,3
maslahatlashuvlar,2
davlatlardagi,3
huzuridagi,6
diplomatik,4
vakolatxonalari,2
rahbarlarini,3
lavozimidan,16
banki,8
raisini,6
vazirliklarni,2
amnistiya,6
hujjatlarni,6
raisining,2
rahbarlarining,1
mahalliy,44
ko‘maklashish,1
qarorlarini,6
taqdirda,7
yuborilgan,2
davrda,2
qonunlarni,3
senatorlar,7
tugagach,1
tegishincha,6
chaqiriq,1
boshlaguniga,1
davom,2
ettirib,2
turadi,2
majlislari,5
saylovdan,1
keyin,9
oydan,2
kechiktirmay,4
tarkib,1
topganidan,1
komissiyasi,6
sessiyalar,2
davrida,4
sentyabrning,1
kunidan,1
kelgusi,1
yilning,1
iyun,1
oyi,2
oxirgi,1
kuniga,1
o‘tkaziladi[okoz,2
zaruratga,1
qarab,1
lekin,1
yiliga,1
marta,3
palatalarining,5
ishida,2
yarmidan,2
ko‘pi,2
etayotgan,1
qilishda,2
vazir,7
kengashi,11
prokuror,1
etishlari,1
alohidaalohida,1
o‘tkazadilar,1
qasamyod,2
qilganda,2
nutq,2
so‘zlaganda,2
rahbarlari,1
kelishuviga,1
majlislar,1
kiritilgan,5
deputatlari,38
hollar,1
yettinchi,2
o‘ninchi,1
qismlari,3
to‘qqizinchi,2
beshinchi,1
ijodkorligi,7
tashabbusi,6
jumlasiga,1
loyihalarini,5
tayyorlash,6
loyihasini,1
subyektlari,1
kiritish,7
nafardan,1
takliflarini,3
tartibida,2
kiritishga,2
qilinib,1
imzolangach,1
manbalarda,1
qilingach,1
hujjatlarning,3
kundan,5
o‘n,8
senatiga,5
oltmish,3
kun,7
ichida,11
chiqiladi,1
imzolanishi,4
prezidentiga,5
yuboriladi,2
qilmasa,1
imzolaydi,5
qaytariladi,1
chiqishda,1
yana,1
kelgan,1
kelishmovchiliklarni,1
kelishuv,3
palatalar,1
odatdagi,1
i,1
isonli,1
tasdiqlangan,2
majlisiga,5
qaytarishga,2
avvalgi,1
tahririda,1
qo‘llanilishining,1
o‘rinbosarlari],4
o‘rinbosarlari,6
muddatiga,4
surunkasiga,9
muddatdan,9
ko‘prog‘ining,2
muddatidan,4
ilgari,4
chaqirib,2
majlislarini,2
chaqiradi,2
ularda,2
raislik,4
kiritiladigan,4
tayyorlashga,2
rahbarlik,6
qo‘mitalari,4
komissiyalarining,2
muvofiqlashtirib,2
boradi,3
qarorlarining,4
ijrosi,2
parlamentlararo,2
guruhlarining,2
ko‘radi,7
hujjatlarida,2
oshiradi,12
farmoyishlar,4
o‘rinbosarlari]modda,1
saylaydi,4
o‘rinbosarlaridan,1
biri,1
bo‘ladi,5
ishini,2
borish,3
dastlabki,2
ijrosini,3
qo‘mitalarni,2
zarurat,1
muayyan,6
vazifalarni,4
komissiyalar,1
asoslariga,1
salbiy,1
ko‘rsatishi,2
soladigan,1
faktlar,1
voqealarni,1
o‘rganish,1
tekshiruvi,1
komissiya,3
tuzilib,1
oshiradimodda,1
deputatlariga,1
deputatlik,1
senatorlik,1
xarajatlar,1
senatda,1
doimiy,3
asosda,2
ishlovchi,1
pedagogik,2
faoliyatdan,2
shug‘ullanishlari,1
foydalanadilar,1
senatning,1
beriladigan,1
choralariga,1
maqomi,4
qonunixix,1
vakolatlarning,5
boshlig‘idir,1
kelishilgan,2
yuritishini,1
hamkorligini,1
o‘ttiz,1
yoshdan,1
kichik,1
tilini,1
biladigan,1
saylovgacha,1
saylanishi,8
yetti,1
muddatga,8
prezidentini,1
vazifasini,1
bajarib,1
lavozimni,1
egallashi,3
shug‘ullanishi,2
shaxsi,1
yig‘ilishida,1
quyidagi,1
qasamyodni,1
kirishgan,1
xalqiga,2
sadoqat,1
respublikaning,2
kafolat,1
zimmasiga,2
yuklatilgan,1
vijdonan,1
yaxlitligining,1
kafilidir,1
masalalariga,1
choratadbirlar,1
ichkarisida,1
muzokaralar,2
bayonnoma,1
bitimlarini,1
shartnomalarga,1
bitimlarga,1
majburiyatlariga,1
huzurida,1
akkreditatsiyadan,1
o‘tgan,1
vakillarning,1
ishonch,1
chaqiruv,1
yorliqlarini,1
vakolatxonalarining,1
bandi,6
oshirishning,1
tuzadi,2
tugatadi,1
masalalarga,1
farmonlarni,1
keyinchalik,1
tasdig‘iga,3
birichi,1
nomzodni,1
vazirini,1
lavozimga,11
tayinlaydi,8
qo‘mitalar,1
agentliklar,1
tashkiliy,7
tuzilmasi,3
prokurorini,1
avgustdagi,1
pfsonli,2
tubdan,1
takomillashtirish,1
choratadbirlari,1
to‘g‘risida”gifarmoni[okoz,1
kuchlari,2
maslahatlashuvlardan,1
tarkiblariga,1
rahbari,2
bandlari,1
sudlov,18
sudyalarning,10
saylanish,5
tayinlanish,3
kengashining,4
shahar,14
sudlari,3
raislarini,1
rais,5
hokimlarini,2
hokimini,1
hokim,5
qadrqimmatiga,1
dog‘,1
tushiradigan,1
xattiharakat,1
etgan,2
tuman,12
hokimlarning,4
hujjatlarini,2
to‘xtatadi,1
muhokama,1
ovozga,2
qarorini,2
favquloddagi,1
holatlar,1
xavfsizligining,1
real,1
tartibsizliklar,1
yirik,1
halokat,1
ofat,1
epidemiyalar,1
joylarida,3
palatalari,3
kiritadi,2
shartlari,1
reglamenti,2
mudofaani,2
prezident,1
qo‘mondon],1
qurolli,7
kuchlarining,1
qo‘mondoni,1
kuchlarning,2
qo‘mondonlarini,1
unvonlar,5
ordenlari,1
medallari,1
yorlig‘i,1
mukofotlaydi,1
malakaviy,1
faxriy,9
fuqaroligiga,1
boshpana,1
sakkizinchi,1
taqdimnomalar,1
shaxslarni,2
maydagi,1
etishni,2
nizomni,1
farmoni,1
nizomning,1
bo‘linmalar,1
kengash,1
maslahat,1
boshchilik,5
administratsiyasini,1
maslahatkengash,1
organlarni,1
bajarishni,1
topshirishga,1
asoslanib,1
farmonlar,1
tarkibida,1
normal,2
bo‘lmaydigan,2
ixtiloflar,2
berganda,2
necha,1
bamaslahat,1
oy,6
mobaynida,2
amaldagi,4
vazifalarini,3
bajara,1
olmaydigan,1
holatlarda,1
vazifa,1
vaqtincha,1
yuklatiladi,1
bunda,2
to‘liq,2
saylovi,5
tugashi,1
munosabati,1
umrbod,1
lavozimini,4
egallaydixx,1
tarkibi,6
vazirlardan,1
hukumatining,1
boshlig‘i,1
lavozimi,1
belgilanadigan,1
yo‘nalishlari,1
dasturlari,1
konsepsiyalar,1
samarali,3
ilmfan,1
saqlashni,1
iqtisodiyotning,1
sohaning,1
tarmoqlarini,1
dasturlarning,1
bajarilishi,5
javobgar,3
hududlarni,6
o‘sishni,1
makroiqtisodiy,1
barqarorlikni,1
sharoitlarini,1
oziqovqat,1
kompleks,3
aholini,2
ko‘rsatishini,2
boyliklarni,1
biologik,1
xilmaxillikni,1
iqlim,1
o‘zgarishiga,1
epidemiyalarga,1
pandemiyalarga,1
oqibatlarini,1
yumshatish,1
yoshlarga,1
oilani,1
qadriyatlarni,1
institutlarini,1
choratadbirlarini,1
sheriklik,1
farmonlari,3
farmoyishlari,1
muvofiqlashtiradi,1
yo‘naltiradi,1
xizmatchilari,1
ochiqlik,2
shaffoflikni,1
samaradorlikni,1
faoliyatida,3
korrupsiya,1
holatlariga,1
xizmatlarining,1
kengaytirish,1
normalar,1
korxonalar,1
muassasalar,1
saylangan,1
zimmasidan,1
soqit,1
biroq,1
shakllantirilguniga,1
ishlashi,1
shaxsan,2
qonunlarida,1
bajaradimodda,1
nomzodi,3
saylangandan,1
shakllangandan,1
so‘ng,3
etilganidan,1
chiqqanidan,1
fraksiyalari,1
o‘tkazilganidan,1
taqdimnoma,1
chiqadi,4
chiqilayotganda,1
uzoq,1
istiqbolga,1
mo‘ljallangan,1
dasturini,1
berilgan,2
vazirni,3
palatasini,1
yuborishga,1
nomzodlari,1
tarkibini,1
chiqarishga,1
eshitishga,1
yakunlariga,1
taklifni,2
so‘rovlariga,2
berishi,1
doirasi,1
tus,1
nomiga,1
vazirga,2
ishonchsizlik,2
votumi,2
bildirish,2
masala,1
kiritiladi,1
bersa,1
holatda,1
birga,1
chiqadixxi,1
kengashlari,9
shaharlarda,1
tumanga,2
bo‘ysunadigan,2
shaharlardan,1
kengashiga,2
viloyat,9
hokimi,8
egallab,1
kengashlarining,5
yangidan,1
birliklarda,1
kengashlariga,2
navbatdagi,1
saylovlarga,1
davrdan,1
oshmaydigan,1
o‘tkaziladimodda[okoz,1
ijroiya,3
hokimliklar,3
hududdagi,2
hokimiyatga,1
shaharning,1
budjeti,5
budjetlarni,1
kadrlar,4
mukofotlar,4
esdalik,4
nishonlar,4
yorliqlar,4
taqdirlash,4
individual,4
aktlar,4
hokimni,1
hisobotlarni,1
hokimlarining,1
farmoyishlarini,1
rivojlantirishni,1
budjetni,1
tayinlanadi,5
shaharlarning,2
hokimlari,2
yakkaboshchilik,1
qilayotgan,1
organlarning,1
viloyatni,1
tumanni,1
shaharni,1
oqsoqol,1
ovullarda,1
ovullardagi,1
mahallalarda,1
yig‘inlari,1
raisni,1
tizimiga,4
kirmaydi,1
ahamiyatga,1
molik,1
rivojlanishning,1
xususiyatlaridan,1
qadriyatlardan,1
urfodatlar,1
oshirishi,1
oshirishida,1
ko‘maklashadi[okoz,1
yig‘ini,1
qonunlarixxii,1
saylovchi,1
xohishirodasini,1
kengesiga,1
tugaydigan,1
yilda,1
oktyabr,1
kunligining,1
yakshanbasida,1
hollari,1
saylovini,2
tayinlashga,1
saylanganidan,1
fuqaroni,1
muomala,1
topilgan,2
saqlanayotgan,2
o‘ta,1
jinoyatlar,1
etganlik,1
hukmiga,1
saylovda,1
bilvosita,1
ikkidan,1
okrug,1
uchastka,1
saylovlarni,1
mustaqillik,2
kollegiallik,1
oshkoralik,1
adolatlilikdan,1
tuziladi,2
komissiyalari,1
komissiyasining,3
tavsiyasi,1
yillik,5
majlisida,1
emasxxiii,1
hokimiyatdan,1
partiyalardan,1
institutlaridan,1
sudlar,3
tuzishga,1
muvofiqligi,5
ishlarni,3
tavsiya,1
siyosat,1
mutaxassislar,1
sudyalari,1
huquqisiz,1
sudining,4
farmoyishlarining,1
hukumat,1
shartnomaviy,1
majburiyatlarining,1
muvofiqligini,2
aniqlaydi,2
imzolanguniga,2
shartnomalarining,1
chiqarilayotgan,1
masalalarning,1
xulosa,2
beradi,3
konstitutsiyasining,1
sharh,1
ishda,2
qo‘llanilishi,1
murojaatini,1
amaliyotini,1
umumlashtirish,1
natijalari,1
yili,1
palatalariga,1
mamlakatdagi,1
qonuniylikning,1
sudda,3
tugallangan,1
qo‘llanilgan,1
sudiga,1
sudni,1
sudlarning,3
o‘rinbosari,3
hamjamiyatining,1
korpusining,1
shakllantirilishini,1
mustaqilligining,1
mustaqildirlar,1
bo‘ysunadilar,1
aralashishga,2
ishlar,2
hisobdor,1
bo‘lmaydi lexuz,1
protsess,1
ishtirokchilarining,1
sudyaning,1
sudyani,2
ishning,1
chetlashtirishga,1
turishga,1
tugatilishi,1
senator,1
sudlarda,1
ko‘riladi,1
yopiq,1
majlisda,1
tinglashga,1
hollardagina,1
qo‘yiladi[okoz,1
tilida,3
qoraqalpoq,1
joydagi,1
so‘zlashadigan,1
boriladi,1
ishlari,1
borilayotgan,1
tilni,1
bilmaydigan,1
qatnashuvchi,1
materiallari,1
ishlarida,1
ona,1
so‘zlash,1
moliyalashtirish,2
moddiytexnik,1
budjetidan,3
kerakxxiv,1
ko‘rsatadi,1
advokatlik,1
litsenziyalash,1
advokaturani,1
oshirayotganda,1
advokatga,1
himoyasidagi,1
moneliksiz,1
xoli,1
uchrashish,1
maslahatlar,1
himoyasida,1
qilinadixxv,1
aniq,1
xilda,1
bo‘ysunuvchi,1
prokurorlar,2
prokuraturaning,3
markazlashtirilgan,1
viloyatlarning,1
prokurorlari,2
prokurorlarining,1
organlaridan,1
tashkilotlardan,1
shaxslardan,1
bo‘ysungan,1
maqsadlarni,1
ko‘zlovchi,1
turadilar,1
jinoyatchilikka,1
kurash,1
tezkorqidiruv,1
tergov,1
bajaruvchi,1
bo‘linmalarini,1
tartibotni,1
ko‘rsatishlari,1
mumkinxxvi,1
pul,8
iqtisod,1
muomalasi,2
inflyatsiya,2
bo‘linmalari,3
budjetlardan,1
iboratdir,2
tartibtaomillari,1
shaffoflik,1
shakllantirilishi,1
jarayonida,1
soliqlarni,1
so‘mdir,1
so‘m,1
cheklanmagan,1
to‘lov,3
belgilarini,1
kiritishda,1
muomaladan,1
chiqarishda,1
bankidan,1
banklardan,1
pulkredit,1
mamlakatda,1
banklar,1
solishni,1
tizimlarining,1
bajarishda,1
mustaqildir,1
bankining,1
mikromoliyalashtirish,1
qonunlarixxvii,1
suverenitetini,1
yaxlitligini,1
kuchlar,1
kuchlarni,1
darajada,1
kuchlariga,1
egaoltinchi,1
tusdagi,2
ko‘pchiligi,1
modda,1
normalarini,2
qo‘llashning,1
kiritilgandan,1
olti,1
keng,1
muhokamani,1
etsa,1
o‘tgandan,1
keyingina,1
kiritilishi,1
mumkinqonunchilik,1
bazasi,1
y,1
son,1
